Incubyte	College	Domain	Date	OA_Question_Paper
ClearTrip	NIT Calicut
GamesCraft
Probo
Merilytics
	NIT Manipur
HSBC
ZETA
Okta	NITK			Simple 4 implementation based question.
Mu Sigma 	NIT Agartala 			https://drive.google.com/drive/folders/1uZUd8NlxtfbIipR22dpuAQd4Fow_AjH1
Deutsche Bank				https://docs.google.com/document/d/1EkkYR4jS79vTwt8HHcUV_DjpTDVBGALtLfm1RUQkNJE/edit?usp=drivesdk
Mathworks 	NIT Agartala			Mathworks
Sigmoid	Nit Agartala			https://drive.google.com/drive/folders/1uZUd8NlxtfbIipR22dpuAQd4Fow_AjH1
ProcDNA (analytics) +seimens +zanskar + poleciy bazar + trilogy + 	NSUT
ICICI	NIT JAMSHEDPUR+NIT Durgapur + IIEST Shibpur			https://drive.google.com/file/d/1_1HhDawXtPf4njpebyx6fkTiGoX_ljq9/view?usp=drivesdk
FLIPKART	NIT JAMSHEDPUR			https://drive.google.com/file/d/1fE_1q44uxoIW8indXTMzQAhdkz2TJY5i/view?usp=drivesdk
UKG	NSUT			https://drive.google.com/drive/folders/12TKsKYdXwloBzZAsWgjTWg5XZtoN2aGi	https://drive.google.com/drive/folders/13uAiLyjtzuv-P7YRJWrQSlWlTszLQWOt
Optum				https://docs.google.com/document/d/1J9vyudDCltYUtzacqodnp6POMRki-0bUzvmxsUigmeA/edit?usp=sharing
Reliance
JSW	Nit Bhopal			https://drive.google.com/file/d/1VMWydBiexqpqzIEFOtoPZpThWQ2JNIdo/view?usp=drivesdk
MAQ	nit Agartala			https://drive.google.com/drive/folders/1g04602nhJtEZeNYYmq97AklyxtKp3_f1
CynLr+Piramal+Quicksell+UKG+sixt+Inmobi+Porter+Reliance	MNIT Allahabad
Sixt				https://drive.google.com/drive/folders/1ZnHT37Nf6GSjeN5_1C9ehBHrFbsRgBCG
Porter				https://drive.google.com/drive/folders/1q7HcxjuGXpH5QeTj7PgMwLQE6xCqR_mx
ICICI BANK				https://drive.google.com/drive/folders/1aSeX1BTDGpFXZ56r80Vlhz7e6KSQxInj
Accenture
Accordian	IIEST Shibpur
L& T
AECOM
reliance				https://drive.google.com/drive/folders/13fD3rEFF3k4z1n8Musb17JTCXwnipf7r
Exl	NIT Bhopal			https://drive.google.com/drive/folders/12NukTJm0YQcC3yFlpsY8ZA3YavrksbgP
Impact Analystics
Protium				https://drive.google.com/file/d/1mTTQx24FJcWk5nn77tE7zuSfFlYPg1Io/view?usp=drivesdk
Wex Fintech	IIT GUWAHATI			https://docs.google.com/document/d/1yl780P1I0QjtGUhpr6Jo3o0OWQmVORvuZoGbNa6k54Y/edit?usp=sharing
teraDATA	IIT GUWAHATI
indus insight -analyst	IIT GUWAHATI			https://drive.google.com/file/d/1yaZcQ_BqKhGi6VSHxot4tT4KjjE1_2rz/view?usp=sharing
Square Point	IIT GUWAHATI
accenture japan	IIT GUWAHATI			https://drive.google.com/drive/folders/1E9_B86-8RCQAMZtK_KTeo2VSsQk6SkT7	https://drive.google.com/file/d/1UBgunNrh6elBceuwUmoQnRkjGI9CHJ1P/view?usp=drive_link	https://drive.google.com/drive/u/0/folders/1y43aHY39YirGA-5KSg7Tym7REQzYsrW7
infoedge	IIT GUWAHATI			https://drive.google.com/file/d/10zgYqrCc8zN3vuBCcZAB6KunhYML_JGw/view?usp=drive_link	https://drive.google.com/file/d/1-F8REWiToQf6_iA2LFvQAgajARQ-ycIt/view?usp=drive_link	other resource
Meesho (data scientist)	IIT GUWAHATI		31/10/2025	https://drive.google.com/drive/folders/1V4-rlaprvu-rA7LrR0rOeZgZByp-Bvcs?usp=sharing	same question were repeated
Axxela	IIT GUWAHATI		01/11/2025	https://drive.google.com/drive/folders/1_R3Q8HQzR-htcWttPfWJcA2VQ08Ix3bt	Axxela - Google Drive		questions matched 60%+
media.net	IIT GUWAHATI		05-11-2025	https://drive.google.com/file/d/1pZLMT6NBrHiF2dGYhRmfpoO0NRtwuu11/view?usp=drive_link	https://drive.google.com/file/d/1b4xA6SUF5MeXGKvnfIbho4S6B63vR9aI/view?usp=drive_link	https://drive.google.com/file/d/1tLv5IntlurXPNKmOm9yxLgKDdY98mFAu/view?usp=sharing
Accordion,NxtWave,accenture japan,accenture india,google,Deutsche India Private Limited,Deloitte,NoBroker Technologies Solutions Pvt Ltd,Denso,hilab,mastercard,mathwork	IIT GUWAHATI
DEZERV	IIT GUWAHATI		12-11-2025	https://drive.google.com/file/d/1_yFBN9Mb1BRIOPboMS4U0SPYfseI2EH7/view?usp=sharing	same questions asked
Reliance	IIT GUWAHATI		14-11-2025	https://drive.google.com/drive/folders/1h1MJtjmVOLf60KPpiS-hwsuSEZ6jCi69?usp=drive_link	https://drive.google.com/file/d/1TRF6B7YTiB4xXueq-wBmMHs_GmRsQHKY/view?usp=sharing	30-50% matched and aptitude are mostly similar
VVF	IIT GUWAHATI
Eternal (business Analyst)	IIT GUWAHATI			3 SQL  for 45 minutes , 2 Python opjective types for 5 minutes , 20 statistics  objective type for 25 minutes; total duration 75 minutes ; SQL questions 1 was question was based on transaction ID given and sender  recevier given we have to find the total sum amout of sender and recevier you have to use group by bcz there was multiple transaction id was there  by a single user  2nd question based on you have to join 3-4 table  you have to use conditions for that and also you have to group by
Aditya Birla Group
TCS
TCE
ixana	IIT KHARAGPUR
